lsoa11cd,measure,Index,Income,Employment,Health,Education,Barriers,Living,Crime
E01006074,Decile,5,4,4,2,6,7,7,10
E01006075,Decile,9,8,9,7,10,9,4,7
E01006076,Decile,9,8,8,8,10,7,6,7
E01006077,Decile,7,6,6,5,10,9,5,6
E01006078,Decile,8,7,8,4,8,10,3,9
E01006079,Decile,10,9,8,9,10,8,10,10
E01006080,Decile,9,8,7,7,10,10,3,9
E01006081,Decile,10,10,10,10,10,4,10,10
E01006082,Decile,10,10,10,10,10,8,8,8
E01006083,Decile,10,10,10,9,10,9,8,9
E01006084,Decile,10,10,10,10,10,8,7,10
E01006085,Decile,10,9,10,9,10,10,7,9
E01006086,Decile,9,6,7,8,10,8,10,9
E01006087,Decile,8,9,10,9,10,1,4,5
E01006088,Decile,9,9,10,9,10,10,3,6
E01006089,Decile,7,7,8,6,9,10,2,5
E01006090,Decile,8,8,6,7,9,9,5,9
E01006091,Decile,9,8,8,7,10,8,8,6
E01006092,Decile,2,2,2,2,2,5,8,8
E01006093,Decile,10,9,9,8,10,10,6,9
E01006094,Decile,10,10,9,8,10,10,7,10
E01006095,Decile,9,9,7,7,9,6,8,6
E01006096,Decile,10,10,10,8,10,10,6,8
E01006097,Decile,10,9,9,9,10,9,4,6
E01006098,Decile,10,10,9,7,10,10,7,7
E01006099,Decile,7,7,7,5,9,10,4,6
E01006100,Decile,8,7,7,7,10,7,5,8
E01006101,Decile,10,10,10,9,10,7,8,6
E01006102,Decile,8,6,5,6,8,10,8,8
E01006103,Decile,10,10,9,9,10,10,6,9
E01006104,Decile,4,3,3,2,4,10,4,5
E01006105,Decile,1,1,1,1,1,4,8,6
E01006106,Decile,3,2,2,3,3,8,6,5
E01006107,Decile,2,2,2,2,2,3,5,5
E01006108,Decile,1,1,1,1,1,2,9,4
E01006109,Decile,1,1,1,2,2,3,4,3
E01006110,Decile,4,2,3,4,5,7,5,7
E01006111,Decile,2,1,2,3,3,4,4,7
E01006112,Decile,2,1,2,1,3,4,4,2
E01006113,Decile,5,4,4,4,7,8,4,3
E01006114,Decile,3,2,2,3,5,6,5,4
E01006115,Decile,3,2,3,2,6,7,3,2
E01006116,Decile,8,7,7,7,7,10,4,10
E01006117,Decile,9,8,7,7,8,10,7,6
E01006118,Decile,5,4,4,2,6,8,6,8
E01006119,Decile,8,8,7,6,7,10,6,5
E01006120,Decile,9,9,8,7,9,10,6,9
E01006121,Decile,5,6,5,4,5,5,5,6
E01006122,Decile,9,8,7,6,8,7,9,10
E01006123,Decile,9,7,7,6,9,10,7,9
E01006124,Decile,10,9,8,7,9,9,8,8
E01006125,Decile,6,6,4,5,6,6,8,7
E01006126,Decile,3,3,2,2,3,7,8,5
E01006127,Decile,7,7,5,6,5,6,9,7
E01006128,Decile,8,8,7,5,9,10,5,7
E01006129,Decile,5,5,3,4,7,8,7,7
E01006130,Decile,8,6,6,6,8,9,6,8
E01006131,Decile,8,8,7,5,9,10,6,9
E01006132,Decile,7,6,6,4,7,10,5,7
E01006133,Decile,8,7,7,5,8,7,7,10
E01006134,Decile,10,10,10,10,10,3,10,9
E01006135,Decile,10,9,8,8,10,6,10,8
E01006136,Decile,10,9,10,9,10,9,9,7
E01006137,Decile,10,10,10,10,10,3,10,10
E01006138,Decile,8,6,6,6,10,7,9,7
E01006139,Decile,10,10,10,10,10,10,6,8
E01006140,Decile,9,9,9,8,10,5,7,9
E01006141,Decile,5,4,3,4,5,8,5,7
E01006142,Decile,5,4,5,4,6,4,6,4
E01006143,Decile,6,6,5,6,10,3,3,7
E01006144,Decile,2,1,1,1,4,3,3,3
E01006145,Decile,3,2,2,3,4,7,6,7
E01006146,Decile,6,5,5,5,8,9,5,4
E01006147,Decile,10,10,9,8,10,10,7,10
E01006148,Decile,9,9,7,6,10,8,5,10
E01006149,Decile,9,7,7,6,10,10,4,8
E01006150,Decile,8,7,6,6,10,10,4,9
E01006151,Decile,10,10,10,8,10,8,7,8
E01006152,Decile,10,10,10,9,10,9,10,10
E01006153,Decile,10,9,9,8,10,9,9,9
E01006154,Decile,9,9,9,6,10,10,5,8
E01006155,Decile,7,8,6,5,7,6,5,6
E01006156,Decile,5,4,3,5,5,8,6,5
E01006157,Decile,6,6,5,5,4,9,4,8
E01006158,Decile,4,3,3,3,4,8,5,7
E01006159,Decile,3,3,2,2,3,7,5,6
E01006160,Decile,5,4,5,3,9,8,3,5
E01006161,Decile,8,9,8,6,10,8,1,5
E01006162,Decile,9,10,9,8,10,9,3,7
E01006163,Decile,9,9,9,8,10,9,3,8
E01006164,Decile,8,8,7,7,10,7,5,4
E01006165,Decile,7,5,6,5,9,8,3,8
E01006166,Decile,6,5,4,4,6,9,10,7
E01006167,Decile,2,1,1,1,3,3,10,7
E01006168,Decile,1,1,1,1,2,2,10,4
E01006169,Decile,8,6,6,6,8,10,7,9
E01006170,Decile,8,7,7,6,9,10,6,8
E01006171,Decile,3,3,2,2,3,8,5,8
E01006172,Decile,9,8,6,6,9,10,9,10
E01006173,Decile,9,9,8,5,9,10,6,6
E01006174,Decile,8,8,6,6,10,10,4,8
E01006175,Decile,2,1,2,2,2,7,4,4
E01006176,Decile,7,7,6,5,7,10,8,5
E01006177,Decile,3,2,2,3,3,6,8,5
E01006178,Decile,9,9,8,7,10,10,4,8
E01006179,Decile,3,3,2,3,6,6,5,6
E01006180,Decile,5,4,5,4,7,8,2,6
E01006181,Decile,5,4,3,3,6,8,4,6
E01006182,Decile,7,6,6,6,7,10,7,6
E01006183,Decile,8,7,6,8,8,9,5,7
E01006184,Decile,5,4,3,5,5,4,6,7
E01006185,Decile,2,2,1,1,3,4,2,3
E01006186,Decile,4,3,3,3,5,6,3,7
E01006187,Decile,4,4,3,4,5,9,1,7
E01006188,Decile,4,3,3,4,7,6,5,8
E01006189,Decile,4,3,3,3,4,8,3,6
E01006190,Decile,10,10,9,8,10,10,5,9
E01006191,Decile,10,10,9,9,10,10,6,8
E01006192,Decile,10,9,9,8,10,10,7,6
E01006193,Decile,10,9,10,8,10,8,7,9
E01006194,Decile,8,8,8,7,9,9,5,4
E01006195,Decile,10,10,9,9,10,10,6,9
E01006196,Decile,9,9,9,7,9,10,4,9
E01006197,Decile,8,7,7,7,9,10,4,5
E01006198,Decile,6,6,5,3,8,8,4,5
E01006199,Decile,4,4,4,2,6,9,4,6
E01006200,Decile,5,4,4,3,7,7,5,7
E01006201,Decile,5,6,4,2,8,10,3,4
E01006202,Decile,6,7,4,4,9,9,2,6
E01006203,Decile,10,9,8,7,10,10,7,10
E01006204,Decile,9,8,8,7,9,9,5,6
E01006205,Decile,10,10,9,8,10,9,7,7
E01006206,Decile,5,5,5,4,6,7,7,4
E01006207,Decile,2,1,1,1,1,3,7,4
E01006208,Decile,5,4,4,6,6,6,8,4
E01006209,Decile,9,9,8,8,10,9,7,7
E01006210,Decile,8,8,6,5,10,7,8,9
E01006211,Decile,4,4,3,2,3,7,7,6
